City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),lat,lng
Evanston (Wy),2015,,9.0,,42.0464,-87.6943
Evanston (Wy),2015,,9.0,,41.2602,-110.9646
Evanston (Wy),2016,,8.35,,42.0464,-87.6943
Evanston (Wy),2016,,8.35,,41.2602,-110.9646
Evanston (Wy),2019,,7.07,,42.0464,-87.6943
Evanston (Wy),2019,,7.07,,41.2602,-110.9646
Evansville (In-Ky),2010,,19.8,,37.9881,-87.5341
Evansville (In-Ky),2010,,19.8,,42.7781,-89.2967
Evansville (In-Ky),2010,,19.8,,42.868,-106.2524
Evansville (In-Ky),2010,,19.8,,38.0889,-89.9322
Evansville (In-Ky),2010,,19.8,,46.0062,-95.6869
Evansville (In-Ky),2010,,19.8,,35.7924,-94.4911
Evansville (In-Ky),2010,,19.8,,66.9206,-151.4201
Evansville (In-Ky),2011,,18.4,,37.9881,-87.5341
Evansville (In-Ky),2011,,18.4,,42.7781,-89.2967
Evansville (In-Ky),2011,,18.4,,42.868,-106.2524
Evansville (In-Ky),2011,,18.4,,38.0889,-89.9322
Evansville (In-Ky),2011,,18.4,,46.0062,-95.6869
Evansville (In-Ky),2011,,18.4,,35.7924,-94.4911
Evansville (In-Ky),2011,,18.4,,66.9206,-151.4201
Evansville (In-Ky),2013,11.1,,14.9,37.9881,-87.5341
Evansville (In-Ky),2013,11.1,,14.9,42.7781,-89.2967
Evansville (In-Ky),2013,11.1,,14.9,42.868,-106.2524
Evansville (In-Ky),2013,11.1,,14.9,38.0889,-89.9322
Evansville (In-Ky),2013,11.1,,14.9,46.0062,-95.6869
Evansville (In-Ky),2013,11.1,,14.9,35.7924,-94.4911
Evansville (In-Ky),2013,11.1,,14.9,66.9206,-151.4201
Evansville (In-Ky),2014,,,16.9,37.9881,-87.5341
Evansville (In-Ky),2014,,,16.9,42.7781,-89.2967
Evansville (In-Ky),2014,,,16.9,42.868,-106.2524
Evansville (In-Ky),2014,,,16.9,38.0889,-89.9322
Evansville (In-Ky),2014,,,16.9,46.0062,-95.6869
Evansville (In-Ky),2014,,,16.9,35.7924,-94.4911
Evansville (In-Ky),2014,,,16.9,66.9206,-151.4201
Evansville (In-Ky),2015,,,15.0,37.9881,-87.5341
Evansville (In-Ky),2015,,,15.0,42.7781,-89.2967
Evansville (In-Ky),2015,,,15.0,42.868,-106.2524
Evansville (In-Ky),2015,,,15.0,38.0889,-89.9322
Evansville (In-Ky),2015,,,15.0,46.0062,-95.6869
Evansville (In-Ky),2015,,,15.0,35.7924,-94.4911
Evansville (In-Ky),2015,,,15.0,66.9206,-151.4201
Evansville (In-Ky),2016,8.9,,15.5,37.9881,-87.5341
Evansville (In-Ky),2016,8.9,,15.5,42.7781,-89.2967
Evansville (In-Ky),2016,8.9,,15.5,42.868,-106.2524
Evansville (In-Ky),2016,8.9,,15.5,38.0889,-89.9322
Evansville (In-Ky),2016,8.9,,15.5,46.0062,-95.6869
Evansville (In-Ky),2016,8.9,,15.5,35.7924,-94.4911
Evansville (In-Ky),2016,8.9,,15.5,66.9206,-151.4201
Evansville (In-Ky),2018,,,15.5,37.9881,-87.5341
Evansville (In-Ky),2018,,,15.5,42.7781,-89.2967
Evansville (In-Ky),2018,,,15.5,42.868,-106.2524
Evansville (In-Ky),2018,,,15.5,38.0889,-89.9322
Evansville (In-Ky),2018,,,15.5,46.0062,-95.6869
Evansville (In-Ky),2018,,,15.5,35.7924,-94.4911
Evansville (In-Ky),2018,,,15.5,66.9206,-151.4201
Fairbanks (Ak),2010,12.8,,,64.8353,-147.6533
Fairbanks (Ak),2010,12.8,,,39.2195,-87.5222
Fairbanks (Ak),2011,10.4,17.1,,64.8353,-147.6533
Fairbanks (Ak),2011,10.4,17.1,,39.2195,-87.5222
Fairbanks (Ak),2012,11.3,22.7,,64.8353,-147.6533
Fairbanks (Ak),2012,11.3,22.7,,39.2195,-87.5222
Fairbanks (Ak),2013,11.8,22.3,,64.8353,-147.6533
Fairbanks (Ak),2013,11.8,22.3,,39.2195,-87.5222
Fairbanks (Ak),2014,10.35,21.6,,64.8353,-147.6533
Fairbanks (Ak),2014,10.35,21.6,,39.2195,-87.5222
Fairbanks (Ak),2015,12.15,22.9,,64.8353,-147.6533
Fairbanks (Ak),2015,12.15,22.9,,39.2195,-87.5222
Fairbanks (Ak),2016,8.95,20.3,,64.8353,-147.6533
Fairbanks (Ak),2016,8.95,20.3,,39.2195,-87.5222
Fairbanks (Ak),2017,9.05,14.9,,64.8353,-147.6533
Fairbanks (Ak),2017,9.05,14.9,,39.2195,-87.5222
Fairbanks (Ak),2018,7.8,14.7,,64.8353,-147.6533
Fairbanks (Ak),2018,7.8,14.7,,39.2195,-87.5222
Fairbanks (Ak),2019,10.1,19.4,,64.8353,-147.6533
Fairbanks (Ak),2019,10.1,19.4,,39.2195,-87.5222
Fargo (Nd-Mn),2010,,,10.2,46.8651,-96.8292
Fargo (Nd-Mn),2010,,,10.2,30.6881,-82.5721
Fargo (Nd-Mn),2010,,,10.2,36.3743,-99.6221
Fargo (Nd-Mn),2010,,,10.2,34.9537,-91.1764
Fargo (Nd-Mn),2014,5.0,,8.2,46.8651,-96.8292
Fargo (Nd-Mn),2014,5.0,,8.2,30.6881,-82.5721
Fargo (Nd-Mn),2014,5.0,,8.2,36.3743,-99.6221
Fargo (Nd-Mn),2014,5.0,,8.2,34.9537,-91.1764
Fargo (Nd-Mn),2015,,,7.9,46.8651,-96.8292
Fargo (Nd-Mn),2015,,,7.9,30.6881,-82.5721
Fargo (Nd-Mn),2015,,,7.9,36.3743,-99.6221
Fargo (Nd-Mn),2015,,,7.9,34.9537,-91.1764
Fargo (Nd-Mn),2016,,,6.9,46.8651,-96.8292
Fargo (Nd-Mn),2016,,,6.9,30.6881,-82.5721
Fargo (Nd-Mn),2016,,,6.9,36.3743,-99.6221
Fargo (Nd-Mn),2016,,,6.9,34.9537,-91.1764
Fargo (Nd-Mn),2017,,,8.2,46.8651,-96.8292
Fargo (Nd-Mn),2017,,,8.2,30.6881,-82.5721
Fargo (Nd-Mn),2017,,,8.2,36.3743,-99.6221
Fargo (Nd-Mn),2017,,,8.2,34.9537,-91.1764
Fargo (Nd-Mn),2018,,,8.4,46.8651,-96.8292
Fargo (Nd-Mn),2018,,,8.4,30.6881,-82.5721
Fargo (Nd-Mn),2018,,,8.4,36.3743,-99.6221
Fargo (Nd-Mn),2018,,,8.4,34.9537,-91.1764
Farmington (Nm),2010,,,20.95,36.7555,-108.1823
Farmington (Nm),2010,,,20.95,40.9845,-111.9065
Farmington (Nm),2010,,,20.95,44.6572,-93.1687
Farmington (Nm),2010,,,20.95,37.7822,-90.4282
Farmington (Nm),2010,,,20.95,42.4614,-83.3784
Farmington (Nm),2010,,,20.95,36.037,-94.2537
Farmington (Nm),2010,,,20.95,34.9224,-88.4432
Farmington (Nm),2010,,,20.95,40.697,-90.0024
Farmington (Nm),2010,,,20.95,39.81,-79.5623
Farmington (Nm),2010,,,20.95,40.6389,-91.7392
Farmington (Nm),2010,,,20.95,39.5119,-80.2515
Farmington (Nm),2010,,,20.95,38.8699,-75.579
Farmington (Nm),2010,,,20.95,36.0128,-80.5329
Farmington (Nm),2010,,,20.95,36.6691,-88.5276
Farmington (Nm),2010,,,20.95,47.0887,-117.0464
Farmington (Nm),2010,,,20.95,37.9299,-121.0044
Farmington (Nm),2011,,,20.0,36.7555,-108.1823
Farmington (Nm),2011,,,20.0,40.9845,-111.9065
Farmington (Nm),2011,,,20.0,44.6572,-93.1687
Farmington (Nm),2011,,,20.0,37.7822,-90.4282
Farmington (Nm),2011,,,20.0,42.4614,-83.3784
Farmington (Nm),2011,,,20.0,36.037,-94.2537
Farmington (Nm),2011,,,20.0,34.9224,-88.4432
Farmington (Nm),2011,,,20.0,40.697,-90.0024
Farmington (Nm),2011,,,20.0,39.81,-79.5623
Farmington (Nm),2011,,,20.0,40.6389,-91.7392
Farmington (Nm),2011,,,20.0,39.5119,-80.2515
Farmington (Nm),2011,,,20.0,38.8699,-75.579
Farmington (Nm),2011,,,20.0,36.0128,-80.5329
Farmington (Nm),2011,,,20.0,36.6691,-88.5276
Farmington (Nm),2011,,,20.0,47.0887,-117.0464
Farmington (Nm),2011,,,20.0,37.9299,-121.0044
Farmington (Nm),2012,,,10.6,36.7555,-108.1823
Farmington (Nm),2012,,,10.6,40.9845,-111.9065
Farmington (Nm),2012,,,10.6,44.6572,-93.1687
Farmington (Nm),2012,,,10.6,37.7822,-90.4282
Farmington (Nm),2012,,,10.6,42.4614,-83.3784
Farmington (Nm),2012,,,10.6,36.037,-94.2537
Farmington (Nm),2012,,,10.6,34.9224,-88.4432
Farmington (Nm),2012,,,10.6,40.697,-90.0024
Farmington (Nm),2012,,,10.6,39.81,-79.5623
Farmington (Nm),2012,,,10.6,40.6389,-91.7392
Farmington (Nm),2012,,,10.6,39.5119,-80.2515
Farmington (Nm),2012,,,10.6,38.8699,-75.579
Farmington (Nm),2012,,,10.6,36.0128,-80.5329
Farmington (Nm),2012,,,10.6,36.6691,-88.5276
Farmington (Nm),2012,,,10.6,47.0887,-117.0464
Farmington (Nm),2012,,,10.6,37.9299,-121.0044
Farmington (Nm),2014,,,14.95,36.7555,-108.1823
Farmington (Nm),2014,,,14.95,40.9845,-111.9065
Farmington (Nm),2014,,,14.95,44.6572,-93.1687
Farmington (Nm),2014,,,14.95,37.7822,-90.4282
Farmington (Nm),2014,,,14.95,42.4614,-83.3784
Farmington (Nm),2014,,,14.95,36.037,-94.2537
Farmington (Nm),2014,,,14.95,34.9224,-88.4432
Farmington (Nm),2014,,,14.95,40.697,-90.0024
Farmington (Nm),2014,,,14.95,39.81,-79.5623
Farmington (Nm),2014,,,14.95,40.6389,-91.7392
Farmington (Nm),2014,,,14.95,39.5119,-80.2515
Farmington (Nm),2014,,,14.95,38.8699,-75.579
Farmington (Nm),2014,,,14.95,36.0128,-80.5329
Farmington (Nm),2014,,,14.95,36.6691,-88.5276
Farmington (Nm),2014,,,14.95,47.0887,-117.0464
Farmington (Nm),2014,,,14.95,37.9299,-121.0044
Farmington (Nm),2015,,,15.8,36.7555,-108.1823
Farmington (Nm),2015,,,15.8,40.9845,-111.9065
Farmington (Nm),2015,,,15.8,44.6572,-93.1687
Farmington (Nm),2015,,,15.8,37.7822,-90.4282
Farmington (Nm),2015,,,15.8,42.4614,-83.3784
Farmington (Nm),2015,,,15.8,36.037,-94.2537
Farmington (Nm),2015,,,15.8,34.9224,-88.4432
Farmington (Nm),2015,,,15.8,40.697,-90.0024
Farmington (Nm),2015,,,15.8,39.81,-79.5623
Farmington (Nm),2015,,,15.8,40.6389,-91.7392
Farmington (Nm),2015,,,15.8,39.5119,-80.2515
Farmington (Nm),2015,,,15.8,38.8699,-75.579
Farmington (Nm),2015,,,15.8,36.0128,-80.5329
Farmington (Nm),2015,,,15.8,36.6691,-88.5276
Farmington (Nm),2015,,,15.8,47.0887,-117.0464
Farmington (Nm),2015,,,15.8,37.9299,-121.0044
Farmington (Nm),2017,,,15.0,36.7555,-108.1823
Farmington (Nm),2017,,,15.0,40.9845,-111.9065
Farmington (Nm),2017,,,15.0,44.6572,-93.1687
Farmington (Nm),2017,,,15.0,37.7822,-90.4282
Farmington (Nm),2017,,,15.0,42.4614,-83.3784
Farmington (Nm),2017,,,15.0,36.037,-94.2537
Farmington (Nm),2017,,,15.0,34.9224,-88.4432
Farmington (Nm),2017,,,15.0,40.697,-90.0024
Farmington (Nm),2017,,,15.0,39.81,-79.5623
Farmington (Nm),2017,,,15.0,40.6389,-91.7392
Farmington (Nm),2017,,,15.0,39.5119,-80.2515
Farmington (Nm),2017,,,15.0,38.8699,-75.579
Farmington (Nm),2017,,,15.0,36.0128,-80.5329
Farmington (Nm),2017,,,15.0,36.6691,-88.5276
Farmington (Nm),2017,,,15.0,47.0887,-117.0464
Farmington (Nm),2017,,,15.0,37.9299,-121.0044
Farmington (Nm),2018,,,18.9,36.7555,-108.1823
Farmington (Nm),2018,,,18.9,40.9845,-111.9065
Farmington (Nm),2018,,,18.9,44.6572,-93.1687
Farmington (Nm),2018,,,18.9,37.7822,-90.4282
Farmington (Nm),2018,,,18.9,42.4614,-83.3784
Farmington (Nm),2018,,,18.9,36.037,-94.2537
Farmington (Nm),2018,,,18.9,34.9224,-88.4432
Farmington (Nm),2018,,,18.9,40.697,-90.0024
Farmington (Nm),2018,,,18.9,39.81,-79.5623
Farmington (Nm),2018,,,18.9,40.6389,-91.7392
Farmington (Nm),2018,,,18.9,39.5119,-80.2515
Farmington (Nm),2018,,,18.9,38.8699,-75.579
Farmington (Nm),2018,,,18.9,36.0128,-80.5329
Farmington (Nm),2018,,,18.9,36.6691,-88.5276
Farmington (Nm),2018,,,18.9,47.0887,-117.0464
Farmington (Nm),2018,,,18.9,37.9299,-121.0044
Farmington (Nm),2019,,,18.6,36.7555,-108.1823
Farmington (Nm),2019,,,18.6,40.9845,-111.9065
Farmington (Nm),2019,,,18.6,44.6572,-93.1687
Farmington (Nm),2019,,,18.6,37.7822,-90.4282
Farmington (Nm),2019,,,18.6,42.4614,-83.3784
Farmington (Nm),2019,,,18.6,36.037,-94.2537
Farmington (Nm),2019,,,18.6,34.9224,-88.4432
Farmington (Nm),2019,,,18.6,40.697,-90.0024
Farmington (Nm),2019,,,18.6,39.81,-79.5623
Farmington (Nm),2019,,,18.6,40.6389,-91.7392
Farmington (Nm),2019,,,18.6,39.5119,-80.2515
Farmington (Nm),2019,,,18.6,38.8699,-75.579
Farmington (Nm),2019,,,18.6,36.0128,-80.5329
Farmington (Nm),2019,,,18.6,36.6691,-88.5276
Farmington (Nm),2019,,,18.6,47.0887,-117.0464
Farmington (Nm),2019,,,18.6,37.9299,-121.0044
Fayetteville-Springdale-Rogers (Ar-Mo),2015,7.8,,,,
Fayetteville-Springdale-Rogers (Ar-Mo),2017,7.8,,,,
Fayetteville-Springdale-Rogers (Ar-Mo),2019,8.0,,,,
Florence-Muscle Shoals (Al),2011,10.3,,,,
Florence-Muscle Shoals (Al),2012,8.8,,,,
Florence-Muscle Shoals (Al),2013,8.6,,,,
Florence-Muscle Shoals (Al),2014,9.4,,,,
Florence-Muscle Shoals (Al),2015,8.7,,,,
Florence-Muscle Shoals (Al),2016,7.5,,,,
Florence-Muscle Shoals (Al),2018,7.5,,,,
Fort Collins (Co),2012,,23.7,,40.5477,-105.0656
Fort Collins (Co),2013,,21.0,,40.5477,-105.0656
Fort Collins (Co),2014,,18.8,,40.5477,-105.0656
Fort Collins (Co),2018,,19.7,,40.5477,-105.0656
Fort Payne (Al),2010,11.6,,,34.4559,-85.6965
Fort Payne (Al),2011,11.2,,,34.4559,-85.6965
Fort Payne (Al),2013,9.0,,,34.4559,-85.6965
Fort Payne (Al),2014,9.6,,,34.4559,-85.6965
Fort Payne (Al),2015,9.0,,,34.4559,-85.6965
Fort Payne (Al),2016,7.7,,,34.4559,-85.6965
Fort Payne (Al),2017,8.0,,,34.4559,-85.6965
Fort Smith (Ar-Ok),2012,,,14.2,35.3495,-94.3695
Fort Smith (Ar-Ok),2012,,,14.2,45.3134,-107.9296
Fort Smith (Ar-Ok),2013,,,12.0,35.3495,-94.3695
Fort Smith (Ar-Ok),2013,,,12.0,45.3134,-107.9296
Fort Smith (Ar-Ok),2014,,,11.0,35.3495,-94.3695
Fort Smith (Ar-Ok),2014,,,11.0,45.3134,-107.9296
Fort Smith (Ar-Ok),2015,,,9.5,35.3495,-94.3695
Fort Smith (Ar-Ok),2015,,,9.5,45.3134,-107.9296
Fort Smith (Ar-Ok),2019,,,9.8,35.3495,-94.3695
Fort Smith (Ar-Ok),2019,,,9.8,45.3134,-107.9296
Fort Wayne (In),2014,10.7,,,41.0888,-85.1436
Fort Wayne (In),2018,9.1,,,41.0888,-85.1436
Fresno (Ca),2010,11.67,29.4,16.8,36.783,-119.7939
Fresno (Ca),2010,11.67,29.4,16.8,29.5357,-95.4696
Fresno (Ca),2010,11.67,29.4,16.8,40.3308,-81.7386
Fresno (Ca),2011,13.83,30.6,18.1,36.783,-119.7939
Fresno (Ca),2011,13.83,30.6,18.1,29.5357,-95.4696
Fresno (Ca),2011,13.83,30.6,18.1,40.3308,-81.7386
Fresno (Ca),2012,14.07,30.7,18.65,36.783,-119.7939
Fresno (Ca),2012,14.07,30.7,18.65,29.5357,-95.4696
Fresno (Ca),2012,14.07,30.7,18.65,40.3308,-81.7386
Fresno (Ca),2013,16.35,39.15,20.95,36.783,-119.7939
Fresno (Ca),2013,16.35,39.15,20.95,29.5357,-95.4696
Fresno (Ca),2013,16.35,39.15,20.95,40.3308,-81.7386
Fresno (Ca),2014,14.57,39.5,19.75,36.783,-119.7939
Fresno (Ca),2014,14.57,39.5,19.75,29.5357,-95.4696
Fresno (Ca),2014,14.57,39.5,19.75,40.3308,-81.7386
Fresno (Ca),2015,14.5,35.85,17.5,36.783,-119.7939
Fresno (Ca),2015,14.5,35.85,17.5,29.5357,-95.4696
Fresno (Ca),2015,14.5,35.85,17.5,40.3308,-81.7386
Fresno (Ca),2016,12.73,34.9,14.22,36.783,-119.7939
Fresno (Ca),2016,12.73,34.9,14.22,29.5357,-95.4696
Fresno (Ca),2016,12.73,34.9,14.22,40.3308,-81.7386
Fresno (Ca),2017,12.88,39.4,17.38,36.783,-119.7939
Fresno (Ca),2017,12.88,39.4,17.38,29.5357,-95.4696
Fresno (Ca),2017,12.88,39.4,17.38,40.3308,-81.7386
Fresno (Ca),2018,14.8,41.7,19.53,36.783,-119.7939
Fresno (Ca),2018,14.8,41.7,19.53,29.5357,-95.4696
Fresno (Ca),2018,14.8,41.7,19.53,40.3308,-81.7386
Fresno (Ca),2019,9.37,35.2,15.25,36.783,-119.7939
Fresno (Ca),2019,9.37,35.2,15.25,29.5357,-95.4696
Fresno (Ca),2019,9.37,35.2,15.25,40.3308,-81.7386
Gadsden (Al),2010,11.8,,,34.0086,-86.0157
Gadsden (Al),2010,11.8,,,33.848,-80.7663
Gadsden (Al),2010,11.8,,,32.5564,-114.7811
Gadsden (Al),2010,11.8,,,35.7768,-88.9861
Gadsden (Al),2011,11.4,,,34.0086,-86.0157
Gadsden (Al),2011,11.4,,,33.848,-80.7663
Gadsden (Al),2011,11.4,,,32.5564,-114.7811
Gadsden (Al),2011,11.4,,,35.7768,-88.9861
Gadsden (Al),2012,9.6,,,34.0086,-86.0157
Gadsden (Al),2012,9.6,,,33.848,-80.7663
Gadsden (Al),2012,9.6,,,32.5564,-114.7811
Gadsden (Al),2012,9.6,,,35.7768,-88.9861
Gadsden (Al),2013,9.2,,,34.0086,-86.0157
Gadsden (Al),2013,9.2,,,33.848,-80.7663
Gadsden (Al),2013,9.2,,,32.5564,-114.7811
Gadsden (Al),2013,9.2,,,35.7768,-88.9861
Gadsden (Al),2014,9.3,,,34.0086,-86.0157
Gadsden (Al),2014,9.3,,,33.848,-80.7663
Gadsden (Al),2014,9.3,,,32.5564,-114.7811
Gadsden (Al),2014,9.3,,,35.7768,-88.9861
Gadsden (Al),2015,9.1,,,34.0086,-86.0157
Gadsden (Al),2015,9.1,,,33.848,-80.7663
Gadsden (Al),2015,9.1,,,32.5564,-114.7811
Gadsden (Al),2015,9.1,,,35.7768,-88.9861
Gadsden (Al),2016,8.2,,,34.0086,-86.0157
Gadsden (Al),2016,8.2,,,33.848,-80.7663
Gadsden (Al),2016,8.2,,,32.5564,-114.7811
Gadsden (Al),2016,8.2,,,35.7768,-88.9861
Gadsden (Al),2017,8.9,,,34.0086,-86.0157
Gadsden (Al),2017,8.9,,,33.848,-80.7663
Gadsden (Al),2017,8.9,,,32.5564,-114.7811
Gadsden (Al),2017,8.9,,,35.7768,-88.9861
Gadsden (Al),2018,7.8,,,34.0086,-86.0157
Gadsden (Al),2018,7.8,,,33.848,-80.7663
Gadsden (Al),2018,7.8,,,32.5564,-114.7811
Gadsden (Al),2018,7.8,,,35.7768,-88.9861
Gadsden (Al),2019,8.3,,,34.0086,-86.0157
Gadsden (Al),2019,8.3,,,33.848,-80.7663
Gadsden (Al),2019,8.3,,,32.5564,-114.7811
Gadsden (Al),2019,8.3,,,35.7768,-88.9861
Georgetown (Sc),2010,,19.6,,30.666,-97.6966
Georgetown (Sc),2010,,19.6,,38.2247,-84.5487
Georgetown (Sc),2010,,19.6,,31.9849,-81.226
Georgetown (Sc),2010,,19.6,,33.3594,-79.2958
Georgetown (Sc),2010,,19.6,,38.6894,-75.3872
Georgetown (Sc),2010,,19.6,,38.8684,-83.8992
Georgetown (Sc),2010,,19.6,,38.2954,-85.964
Georgetown (Sc),2010,,19.6,,39.9774,-87.6354
Georgetown (Sc),2010,,19.6,,38.9112,-120.8356
Georgetown (Sc),2010,,19.6,,41.2271,-75.8722
Georgetown (Sc),2010,,19.6,,41.2494,-73.4343
Georgetown (Sc),2010,,19.6,,39.7179,-105.6942
Georgetown (Sc),2010,,19.6,,42.479,-111.3639
Georgetown (Sc),2010,,19.6,,39.9426,-76.0789
Georgetown (Sc),2010,,19.6,,31.8698,-90.1648
Georgetown (Sc),2010,,19.6,,31.7597,-92.3821
Georgetown (Sc),2010,,19.6,,40.6417,-80.4994
Georgetown (Sc),2010,,19.6,,35.1267,-91.4539
Georgetown (Sc),2010,,19.6,,47.0784,-96.7959
Georgetown (Sc),2010,,19.6,,39.2194,-76.1971
Georgetown (Sc),2016,,18.3,,30.666,-97.6966
Georgetown (Sc),2016,,18.3,,38.2247,-84.5487
Georgetown (Sc),2016,,18.3,,31.9849,-81.226
Georgetown (Sc),2016,,18.3,,33.3594,-79.2958
Georgetown (Sc),2016,,18.3,,38.6894,-75.3872
Georgetown (Sc),2016,,18.3,,38.8684,-83.8992
Georgetown (Sc),2016,,18.3,,38.2954,-85.964
Georgetown (Sc),2016,,18.3,,39.9774,-87.6354
Georgetown (Sc),2016,,18.3,,38.9112,-120.8356
Georgetown (Sc),2016,,18.3,,41.2271,-75.8722
Georgetown (Sc),2016,,18.3,,41.2494,-73.4343
Georgetown (Sc),2016,,18.3,,39.7179,-105.6942
Georgetown (Sc),2016,,18.3,,42.479,-111.3639
Georgetown (Sc),2016,,18.3,,39.9426,-76.0789
Georgetown (Sc),2016,,18.3,,31.8698,-90.1648
Georgetown (Sc),2016,,18.3,,31.7597,-92.3821
Georgetown (Sc),2016,,18.3,,40.6417,-80.4994
Georgetown (Sc),2016,,18.3,,35.1267,-91.4539
Georgetown (Sc),2016,,18.3,,47.0784,-96.7959
Georgetown (Sc),2016,,18.3,,39.2194,-76.1971
Gettysburg (Pa),2012,,,4.4,39.8304,-77.2339
Gettysburg (Pa),2012,,,4.4,45.006,-99.9539
Gettysburg (Pa),2012,,,4.4,40.1156,-84.4964
Gettysburg (Pa),2013,,,4.1,39.8304,-77.2339
Gettysburg (Pa),2013,,,4.1,45.006,-99.9539
Gettysburg (Pa),2013,,,4.1,40.1156,-84.4964
Gettysburg (Pa),2014,,,4.3,39.8304,-77.2339
Gettysburg (Pa),2014,,,4.3,45.006,-99.9539
Gettysburg (Pa),2014,,,4.3,40.1156,-84.4964
Gettysburg (Pa),2016,,,2.3,39.8304,-77.2339
Gettysburg (Pa),2016,,,2.3,45.006,-99.9539
Gettysburg (Pa),2016,,,2.3,40.1156,-84.4964
Gettysburg (Pa),2019,,,3.0,39.8304,-77.2339
Gettysburg (Pa),2019,,,3.0,45.006,-99.9539
Gettysburg (Pa),2019,,,3.0,40.1156,-84.4964
Gillette (Wy),2010,,14.37,7.9,44.2752,-105.4982
Gillette (Wy),2010,,14.37,7.9,40.6921,-74.4629
Gillette (Wy),2011,,12.92,4.4,44.2752,-105.4982
Gillette (Wy),2011,,12.92,4.4,40.6921,-74.4629
Gillette (Wy),2012,,27.61,7.83,44.2752,-105.4982
Gillette (Wy),2012,,27.61,7.83,40.6921,-74.4629
Gillette (Wy),2013,,9.5,7.95,44.2752,-105.4982
Gillette (Wy),2013,,9.5,7.95,40.6921,-74.4629
Gillette (Wy),2014,,10.12,2.6,44.2752,-105.4982
Gillette (Wy),2014,,10.12,2.6,40.6921,-74.4629
Gillette (Wy),2015,,15.82,2.4,44.2752,-105.4982
Gillette (Wy),2015,,15.82,2.4,40.6921,-74.4629
Gillette (Wy),2016,,14.41,2.1,44.2752,-105.4982
Gillette (Wy),2016,,14.41,2.1,40.6921,-74.4629
Gillette (Wy),2017,,16.22,,44.2752,-105.4982
Gillette (Wy),2017,,16.22,,40.6921,-74.4629
Gillette (Wy),2018,,17.08,2.7,44.2752,-105.4982
Gillette (Wy),2018,,17.08,2.7,40.6921,-74.4629
Gillette (Wy),2019,,11.3,2.3,44.2752,-105.4982
Gillette (Wy),2019,,11.3,2.3,40.6921,-74.4629
Glenwood Springs (Co),2010,,22.5,,39.5455,-107.3347
Glenwood Springs (Co),2012,,11.25,,39.5455,-107.3347
Glenwood Springs (Co),2013,,7.2,,39.5455,-107.3347
Glenwood Springs (Co),2014,,8.1,,39.5455,-107.3347
Glenwood Springs (Co),2015,,11.65,,39.5455,-107.3347
Glenwood Springs (Co),2016,,9.8,,39.5455,-107.3347
Glenwood Springs (Co),2017,,11.5,,39.5455,-107.3347
Glenwood Springs (Co),2018,,11.2,,39.5455,-107.3347
Glenwood Springs (Co),2019,,8.5,,39.5455,-107.3347
Grand Island (Ne),2011,7.0,,,40.9218,-98.3586
Grand Junction (Co),2010,9.0,23.0,,39.0877,-108.5673
Grand Junction (Co),2010,9.0,23.0,,42.033,-94.2369
Grand Junction (Co),2010,9.0,23.0,,35.05,-89.1889
Grand Junction (Co),2013,8.8,,,39.0877,-108.5673
Grand Junction (Co),2013,8.8,,,42.033,-94.2369
Grand Junction (Co),2013,8.8,,,35.05,-89.1889
Grand Junction (Co),2014,,18.3,,39.0877,-108.5673
Grand Junction (Co),2014,,18.3,,42.033,-94.2369
Grand Junction (Co),2014,,18.3,,35.05,-89.1889
Grand Junction (Co),2015,,14.9,,39.0877,-108.5673
Grand Junction (Co),2015,,14.9,,42.033,-94.2369
Grand Junction (Co),2015,,14.9,,35.05,-89.1889
Grand Junction (Co),2016,6.2,,,39.0877,-108.5673
Grand Junction (Co),2016,6.2,,,42.033,-94.2369
Grand Junction (Co),2016,6.2,,,35.05,-89.1889
Grand Junction (Co),2017,,16.5,,39.0877,-108.5673
Grand Junction (Co),2017,,16.5,,42.033,-94.2369
Grand Junction (Co),2017,,16.5,,35.05,-89.1889
Grand Rapids-Wyoming (Mi),2010,,13.0,,,
Grand Rapids-Wyoming (Mi),2013,,12.3,,,
Grand Rapids-Wyoming (Mi),2015,,17.0,,,
Grants Pass (Or),2017,12.8,,,42.4333,-123.3317
Grants Pass (Or),2018,12.2,,,42.4333,-123.3317
Grantsville (Na),2017,5.9,,,40.6148,-112.4777
Grantsville (Na),2017,5.9,,,39.6969,-79.1528
Grantsville (Na),2017,5.9,,,38.9204,-81.0933
Greeley (Co),2010,7.3,,,40.4152,-104.7706
Greeley (Co),2010,7.3,,,38.3676,-95.1272
Greeley (Co),2010,7.3,,,42.5849,-91.3417
Greeley (Co),2011,7.4,,,40.4152,-104.7706
Greeley (Co),2011,7.4,,,38.3676,-95.1272
Greeley (Co),2011,7.4,,,42.5849,-91.3417
Greeley (Co),2012,7.8,,,40.4152,-104.7706
Greeley (Co),2012,7.8,,,38.3676,-95.1272
Greeley (Co),2012,7.8,,,42.5849,-91.3417
Greeley (Co),2018,,22.8,,40.4152,-104.7706
Greeley (Co),2018,,22.8,,38.3676,-95.1272
Greeley (Co),2018,,22.8,,42.5849,-91.3417
Greenville-Anderson-Mauldin (Sc),2010,,,20.2,,
Greenville-Anderson-Mauldin (Sc),2014,,,17.8,,
Greenville-Anderson-Mauldin (Sc),2018,,12.1,,,
