Country,City/Town,"Annual mean PM10, ug/m3",Year,note on converted PM10,"Annual mean PM2.5, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage
United States of America,"Memphis, TN-MS-AR",17,2014,converted from PM2.5,9,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Mena,Polk,AR",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Merced, CA",20,2014,converted from PM2.5,11,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Miami-Fort Lauderdale-Pompano Beach, FL",11,2014,converted from PM2.5,6,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Michigan City-La Porte, IN",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Middlesborough, KY",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Milwaukee-Waukesha-West Allis, WI",18,2014,converted from PM2.5,10,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Minneapolis-St. Paul-Bloomington, MN-WI",14,2014,converted from PM2.5,8,2014,"12 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Missoula, MT",15,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Mobile, AL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Modesto, CA",22,2014,converted from PM2.5,12,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Montgomery, AL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Morgantown, WV",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Mount Vernon-Anacortes, WA",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Muncie, IN",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Muscatine, IA",19,2014,converted from PM2.5,10,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Napa, CA",22,2014,converted from PM2.5,12,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Nashville-Davidson-Murfreesboro-Franklin, TN",18,2014,converted from PM2.5,10,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"New Castle, IN",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"New Haven-Milford, CT",16,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"New Orleans-Metairie-Kenner, LA",14,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"New York-Northern New Jersey-Long Island, NY-NJ-PA",16,2014,converted from PM2.5,9,2014,"18 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Niles-Benton Harbor, MI",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Nogales, AZ",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Norwich-New London, CT",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Burke,ND",7,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Carter,KY",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Caswell,NC",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Cedar,MO",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Chesterfield,SC",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Converse,WY",4,2014,converted from PM2.5,2.30,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Custer,SD",4,2014,converted from PM2.5,2.40,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Delaware,IA",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Dunn,ND",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Essex,NY",6,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Fergus,MT",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Hancock,ME",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Jackson,NC",14,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Jackson,SD",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Kent,MD",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Lake,MN",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Lemhi,ID",23,2014,converted from PM2.5,13,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,McKenzie,ND",6,2014,converted from PM2.5,3.20,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Mercer,ND",8,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Montgomery,IA",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Neosho,KS",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Oliver,ND",9,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Page,VA",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Phillips,MT",8,2014,converted from PM2.5,4,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Powder River,MT",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Richland,MT",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Rosebud,MT",10,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Sublette,WY",10,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Not in a City,Van Buren,IA",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Ogden-Clearfield, UT",14,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Oklahoma City, OK",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Omaha-Council Bluffs, NE-IA",15,2014,converted from PM2.5,8,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Orlando-Kissimmee, FL",12,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Owensboro, KY",20,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Oxnard-Thousand Oaks-Ventura, CA",16,2014,converted from PM2.5,9,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Paducah, KY-IL",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Parkersburg-Marietta-Vienna, WV-OH",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Pascagoula, MS",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19,2014,converted from PM2.5,10,2014,"14 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Phoenix-Mesa-Scottsdale, AZ",16,2014,converted from PM2.5,9,2014,"12 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Pikeville,Pike,KY",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Pittsburgh, PA",19,2014,converted from PM2.5,10,2014,"13 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Pittsfield, MA",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Pocatello, ID",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Portland-Vancouver-Beaverton, OR-WA",12,2014,converted from PM2.5,7,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Portola,Plumas,CA",29,2014,converted from PM2.5,16,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Portsmouth, OH",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Poughkeepsie-Newburgh-Middletown, NY",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Prineville, OR",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Providence-New Bedford-Fall River, RI-MA",11,2014,converted from PM2.5,6,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Provo-Orem, UT",13,2014,converted from PM2.5,7,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Pueblo, CO",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Quincy,Plumas,CA",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Raleigh-Cary, NC",17,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Rapid City, SD",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Reading, PA",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Redding, CA",8,2014,converted from PM2.5,5,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Reno-Sparks, NV",15,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Richmond, VA",15,2014,converted from PM2.5,8,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Richmond-Berea, KY",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Riverside-San Bernardino-Ontario, CA",20,2014,converted from PM2.5,11,2014,"7 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Roanoke, VA",15,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Rochester, MN",12,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Rochester, NY",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Rumford (census name for Rumford Compact),Oxford,ME",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Rutland, VT",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sacramento--Arden-Arcade--Roseville, CA",14,2014,converted from PM2.5,8,2014,"7 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Salinas, CA",9,2014,converted from PM2.5,5,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Salisbury, NC",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Salt Lake City, UT",12,2014,converted from PM2.5,7,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"San Andreas,Calaveras,CA",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"San Antonio, TX",16,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"San Diego-Carlsbad-San Marcos, CA",15,2014,converted from PM2.5,8,2014,"6 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"San Francisco-Oakland-Fremont, CA",16,2014,converted from PM2.5,9,2014,"8 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"San Jose-Sunnyvale-Santa Clara, CA",12,2014,converted from PM2.5,7,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"San Luis Obispo-Paso Robles, CA",16,2014,converted from PM2.5,9,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sandersville,Washington,GA",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sanford, NC",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Santa Barbara-Santa Maria-Goleta, CA",15,2014,converted from PM2.5,8,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Santa Cruz-Watsonville, CA",10,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Santa Rosa-Petaluma, CA",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sault Ste. Marie, MI",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Seaford, DE",16,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Seattle-Tacoma-Bellevue, WA",12,2014,converted from PM2.5,6,2014,"6 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sheridan, WY",10,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sierra Vista-Douglas, AZ",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sinclair,Carbon,WY",3,2014,converted from PM2.5,1.60,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sioux City, IA-NE-SD",16,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Sioux Falls, SD",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Somerset, KY",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"South Bend-Mishawaka, IN-MI",19,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Spartanburg, SC",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Spokane, WA",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Springfield, MA",11,2014,converted from PM2.5,6,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Springfield, MO",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Spruce Pine,Mitchell,NC",14,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"St. Cloud, MN",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"St. Joseph, MO-KS",20,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"St. Louis, MO-IL",21,2014,converted from PM2.5,11,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"State College, PA",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Stockton, CA",20,2014,converted from PM2.5,11,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Stuttgart,Arkansas,AR",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Syracuse, NY",12,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Talladega-Sylacauga, AL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Tallahassee, FL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Tampa-St. Petersburg-Clearwater, FL",12,2014,converted from PM2.5,7,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Terre Haute, IN",21,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Texarkana, TX-Texarkana, AR",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Thomasville-Lexington, NC",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Toledo, OH",19,2014,converted from PM2.5,10,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Topeka, KS",16,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Torrington, CT",10,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Trenton-Ewing, NJ",15,2014,converted from PM2.5,8,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Tucson, AZ",11,2014,converted from PM2.5,6,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Tulsa, OK",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Tuscaloosa, AL",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Ukiah, CA",10,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Valdosta, GA",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Vallejo-Fairfield, CA",18,2014,converted from PM2.5,10,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Virginia Beach-Norfolk-Newport News, VA-NC",15,2014,converted from PM2.5,8,2014,"3 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Visalia-Porterville, CA",33,2014,converted from PM2.5,18,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Warner Robins, GA",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Washington-Arlington-Alexandria, DC-VA-MD-WV",16,2014,converted from PM2.5,9,2014,"8 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Waterloo-Cedar Falls, IA",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Watertown, SD",8,2014,converted from PM2.5,5,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Weirton-Steubenville, WV-OH",20,2014,converted from PM2.5,11,2014,"5 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Wenden, AZ",4,2014,converted from PM2.5,2.00,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Wheeling, WV-OH",19,2014,converted from PM2.5,11,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Wichita, KS",17,2014,converted from PM2.5,9,2014,"4 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Williston, ND",11,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Wilmington, NC",12,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Winchester, VA-WV",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Winona, MN",15,2014,converted from PM2.5,8,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Winston-Salem, NC",16,2014,converted from PM2.5,9,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Worcester, MA",12,2014,converted from PM2.5,7,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Yakima, WA",13,2014,converted from PM2.5,7,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75%
United States of America,"Youngstown-Warren-Boardman, OH-PA",20,2014,converted from PM2.5,11,2014,"2 stations, NA",measured data,PM10: NA; PM2.5:<75 % but annually representative
United States of America,"Yreka,Siskiyou,CA",17,2014,converted from PM2.5,9,2014,"1 station, NA",measured data,PM10: NA; PM2.5:<75 % but annually representative
United States of America,"Yuma, AZ",12,2014,converted from PM2.5,6,2014,"1 station, NA",measured data,PM10: NA; PM2.5:>75%
