Country,City/Town,Year,"Annual mean PM10, ug/m3","Annual mean PM2.5, ug/m3",Temporal coverage,Number and type of monitoring stations,Database version (year)
United States of America,New Haven,2015,(17)-converted value,8,50% -< 75%,1 Urban And Center City,2018
United States of America,New Haven-Milford,2014,(16)-converted value,9,NA,-,2016
United States of America,New Orleans-Metairie-Kenner,2014,(14)-converted value,8,NA,-,2016
United States of America,New York,2016,(14)-converted value,7,>75%,2 Urban And Center City,2018
United States of America,New York-Northern New Jersey-Long Island,2014,(16)-converted value,9,NA,-,2016
United States of America,Newark,2016,(18)-converted value,8,50% -< 75%,1 Urban And Center City,2018
United States of America,Niles-Benton Harbor,2014,(16)-converted value,8,NA,-,2016
United States of America,Nipomo,2016,(12)-converted value,6,>75%,1 Rural,2018
United States of America,Nogales,2016,(21)-converted value,10,50% -< 75%,1 Urban And Center City,2018
United States of America,Norristown,2015,(19)-converted value,9,>75%,1 Suburban,2018
United States of America,North Charleston,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,North Las Vegas,2016,(21)-converted value,10,>75%,1 Urban And Center City,2018
United States of America,North Laurel,2016,(20)-converted value,10,>75%,1 Suburban,2018
United States of America,North Little Rock,2016,(21)-converted value,10,50% -< 75%,1 Urban And Center City,2018
United States of America,Norwich-New London,2014,(15)-converted value,8,NA,-,2016
United States of America,Oakland,2016,(16)-converted value,8,>75%,3 Urban And Center City,2018
United States of America,Ogden,2016,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Ogden Dunes (Wickliffe),2016,(16)-converted value,8,50% -< 75%,1 Suburban,2018
United States of America,Ogden-Clearfield,2014,(14)-converted value,8,NA,-,2016
United States of America,Ojai,2016,(19)-converted value,9,>75%,1 Suburban,2018
United States of America,Oklahoma City,2014,(17)-converted value,9,NA,-,2016
United States of America,Omaha,2016,(15)-converted value,7,50% -< 75%,1 Suburban,2018
United States of America,Omaha-Council Bluffs,2014,(15)-converted value,8,NA,-,2016
United States of America,Ontario,2016,(31)-converted value,15,>75%,1 Suburban,2018
United States of America,Orlando-Kissimmee,2014,(12)-converted value,6,NA,-,2016
United States of America,Owensboro,2014,(20)-converted value,11,NA,-,2016
United States of America,Oxnard-Thousand Oaks-Ventura,2014,(16)-converted value,9,NA,-,2016
United States of America,Paducah,2014,(19)-converted value,10,NA,-,2016
United States of America,Pahala,2016,(12)-converted value,6,>75%,1 Rural,2018
United States of America,Paia,2016,(9)-converted value,4,>75%,1 Suburban,2018
United States of America,Pala,2016,(16)-converted value,8,>75%,1 Rural,2018
United States of America,Palmer,2016,(6)-converted value,3,>75%,1 Suburban,2018
United States of America,Parkersburg-Marietta-Vienna,2014,(18)-converted value,10,NA,-,2016
United States of America,Pascagoula,2014,(18)-converted value,10,NA,-,2016
United States of America,Pearl City,2016,(5)-converted value,3,>75%,1 Urban And Center City,2018
United States of America,Peterborough (Peterboro),2016,(8)-converted value,4,50% -< 75%,1 Rural,2018
United States of America,Philadelphia,2016,(20)-converted value,9,>75%,5 Urban And Center City,2018
United States of America,Philadelphia-Camden-Wilmington,2014,(19)-converted value,10,NA,-,2016
United States of America,Phoenix,2016,(18)-converted value,9,>75%,"2 Suburban, 3 Urban And Center City",2018
United States of America,Phoenix-Mesa-Scottsdale,2014,(16)-converted value,9,NA,-,2016
United States of America,Pierre,2016,(9)-converted value,4,>75%,1 Suburban,2018
United States of America,Pikeville,2014,(16)-converted value,9,NA,-,2016
United States of America,Pinehurst (Pine Creek),2016,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Piru,2016,(17)-converted value,8,>75%,1 Rural,2018
United States of America,Pittsburgh,2015,(20)-converted value,9,>75%,1 Suburban,2018
United States of America,Pittsfield,2016,(14)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Pocatello,2014,(13)-converted value,7,NA,-,2016
United States of America,Ponca City,2016,(15)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Portland,2015,(16)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Portland-Vancouver-Beaverton,2014,(12)-converted value,7,NA,-,2016
United States of America,Portola,2014,(29)-converted value,16,NA,-,2016
United States of America,Portsmouth,2016,(12)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Poughkeepsie-Newburgh-Middletown,2014,(13)-converted value,7,NA,-,2016
United States of America,Presque Isle,2016,(8)-converted value,4,>75%,1 Urban And Center City,2018
United States of America,Prineville,2014,(18)-converted value,10,NA,-,2016
United States of America,Providence,2016,(16)-converted value,8,>75%,2 Urban And Center City,2018
United States of America,Providence-New Bedford-Fall River,2014,(11)-converted value,6,NA,-,2016
United States of America,Provo,2016,(17)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Provo-Orem,2014,(13)-converted value,7,NA,-,2016
United States of America,Pueblo,2014,(11)-converted value,6,NA,-,2016
United States of America,Quincy,2016,(18)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Raleigh,2016,(19)-converted value,9,50% -< 75%,1 Suburban,2018
United States of America,Raleigh-Cary,2014,(17)-converted value,9,NA,-,2016
United States of America,Rangely,2016,(16)-converted value,8,>75%,1 Rural,2018
United States of America,Rapid City,2016,(13)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Reading,2014,(18)-converted value,10,NA,-,2016
United States of America,Red Lake,2016,(10)-converted value,5,>75%,1 Rural,2018
United States of America,Redding,2014,(8)-converted value,5,NA,-,2016
United States of America,Redwood City,2016,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Reno,2016,(13)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Reno-Sparks,2014,(15)-converted value,8,NA,-,2016
United States of America,Richmond,2016,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Richmond-Berea,2014,(16)-converted value,8,NA,-,2016
United States of America,Riverside-San Bernardino-Ontario,2014,(20)-converted value,11,NA,-,2016
United States of America,Roanoke,2014,(15)-converted value,8,NA,-,2016
United States of America,Rochester,2016,(13)-converted value,6,50% -< 75%,"1 Suburban, 1 Urban And Center City",2018
United States of America,Roosevelt,2016,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,Rubidoux,2016,(26)-converted value,13,50% -< 75%,1 Suburban,2018
United States of America,Rumford (Census Name For Rumford Compact),2016,(14)-converted value,7,50% -< 75%,1 Rural,2018
United States of America,Rutland,2016,(14)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Sacramento--Arden-Arcade--Roseville,2014,(14)-converted value,8,NA,-,2016
United States of America,Saint Petersburg,2015,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Salinas,2016,(12)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Salisbury,2014,(17)-converted value,9,NA,-,2016
United States of America,Salt Lake City,2016,(18)-converted value,9,>75%,2 Suburban,2018
United States of America,San Andreas,2016,(17)-converted value,8,>75%,1 Rural,2018
United States of America,San Antonio,2014,(16)-converted value,9,NA,-,2016
United States of America,San Diego,2015,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,San Diego-Carlsbad-San Marcos,2014,(15)-converted value,8,NA,-,2016
United States of America,San Francisco,2016,(16)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,San Francisco-Oakland-Fremont,2014,(16)-converted value,9,NA,-,2016
United States of America,San Jose,2016,(18)-converted value,9,>75%,2 Urban And Center City,2018
United States of America,San Jose-Sunnyvale-Santa Clara,2014,(12)-converted value,7,NA,-,2016
United States of America,San Luis Obispo,2014,(13)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,San Luis Obispo-Paso Robles,2014,(16)-converted value,9,NA,-,2016
United States of America,San Pablo,2016,(17)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,San Rafael,2016,(13)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Sandersville,2014,(18)-converted value,10,NA,-,2016
United States of America,Sanford,2014,(20)-converted value,9,>75%,1 Rural,2018
United States of America,Santa Barbara,2014,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Santa Barbara-Santa Maria-Goleta,2014,(15)-converted value,8,NA,-,2016
United States of America,Santa Cruz-Watsonville,2014,(10)-converted value,5,NA,-,2016
United States of America,Santa Maria,2016,(15)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Santa Rosa-Petaluma,2014,(14)-converted value,8,NA,-,2016
United States of America,Sault Ste. Marie,2015,(18)-converted value,8,>75%,1 Rural,2018
United States of America,Scranton,2016,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Seaford,2014,(16)-converted value,8,NA,-,2016
United States of America,Seattle,2016,(12)-converted value,6,>75%,"1 Suburban, 1 Urban And Center City",2018
United States of America,Seattle-Tacoma-Bellevue,2014,(12)-converted value,6,NA,-,2016
United States of America,Sebastopol,2016,(10)-converted value,5,>75%,1 Urban And Center City,2018
United States of America,Seiling,2016,(12)-converted value,6,>75%,1 Rural,2018
United States of America,Sheridan,2014,(10)-converted value,5,NA,-,2016
United States of America,Sierra Vista-Douglas,2014,(13)-converted value,7,NA,-,2016
United States of America,Simi Valley,2016,(18)-converted value,9,>75%,1 Suburban,2018
United States of America,Sinclair,2015,(5)-converted value,2,>75%,1 Suburban,2018
United States of America,Sioux City,2014,(16)-converted value,8,NA,-,2016
United States of America,Sioux Falls,2014,(14)-converted value,8,NA,-,2016
United States of America,Smithfield,2016,(15)-converted value,7,>75%,1 Rural,2018
United States of America,Somerset,2014,(17)-converted value,9,NA,-,2016
United States of America,South Bend,2016,(19)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,South Bend-Mishawaka,2014,(19)-converted value,10,NA,-,2016
United States of America,South Valley,2016,(16)-converted value,8,>75%,1 Rural,2018
United States of America,Sparks,2016,(15)-converted value,7,>75%,1 Suburban,2018
United States of America,Spartanburg,2016,(18)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Spokane,2014,(13)-converted value,7,NA,-,2016
United States of America,Springfield,2016,(15)-converted value,7,>75%,1 Suburban,2018
United States of America,Spruce Pine,2014,(14)-converted value,8,NA,-,2016
United States of America,St. Cloud,2016,(12)-converted value,6,>75%,1 Suburban,2018
United States of America,St. Joseph,2016,(16)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,St. Louis,2016,(18)-converted value,9,>75%,"1 Suburban, 3 Urban And Center City",2018
United States of America,St. Michael,2016,(13)-converted value,6,>75%,1 Suburban,2018
United States of America,St. Paul,2016,(14)-converted value,7,>75%,"1 Suburban, 1 Urban And Center City",2018
United States of America,State College,2015,(18)-converted value,9,>75%,1 Rural,2018
United States of America,Steubenville,2015,(25)-converted value,12,50% -< 75%,1 Urban And Center City,2018
United States of America,Stockton,2016,(26)-converted value,13,>75%,1 Urban And Center City,2018
United States of America,Stuttgart,2014,(17)-converted value,9,NA,-,2016
United States of America,Sunrise Manor,2014,(19)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Syracuse,2014,(12)-converted value,7,NA,-,2016
United States of America,Tacoma,2016,(15)-converted value,7,50% -< 75%,1 Suburban,2018
United States of America,Talladega-Sylacauga,2014,(17)-converted value,9,NA,-,2016
United States of America,Tallahassee,2014,(17)-converted value,9,NA,-,2016
United States of America,Tampa,2015,(20)-converted value,10,>75%,1 Suburban,2018
United States of America,Tampa-St. Petersburg-Clearwater,2014,(12)-converted value,7,NA,-,2016
United States of America,Tempe,2016,(15)-converted value,7,>75%,2 Urban And Center City,2018
United States of America,Terre Haute,2016,(18)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Texarkana,2014,(18)-converted value,10,NA,-,2016
United States of America,Thomasville-Lexington,2014,(18)-converted value,10,NA,-,2016
United States of America,Thousand Oaks,2016,(20)-converted value,10,>75%,1 Suburban,2018
United States of America,Toledo,2014,(19)-converted value,10,NA,-,2016
United States of America,Toms River,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Tooele,2014,(13)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Topeka,2014,(16)-converted value,8,NA,-,2016
United States of America,Torrington,2016,(8)-converted value,4,>75%,1 Rural,2018
United States of America,Trenton,2016,(15)-converted value,7,>75%,1 Urban And Center City,2018
United States of America,Trenton-Ewing,2014,(15)-converted value,8,NA,-,2016
United States of America,Tucson,2014,(11)-converted value,6,NA,-,2016
United States of America,Tulsa,2014,(19)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Tuscaloosa,2014,(17)-converted value,9,NA,-,2016
United States of America,Ukiah,2016,(13)-converted value,6,>75%,1 Suburban,2018
United States of America,Underhill (Town Of),2016,(7)-converted value,3,50% -< 75%,1 Rural,2018
United States of America,Valdosta,2014,(17)-converted value,9,NA,-,2016
United States of America,Vallejo,2016,(17)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Vallejo-Fairfield,2014,(18)-converted value,10,NA,-,2016
United States of America,Valrico,2016,(15)-converted value,7,>75%,1 Rural,2018
United States of America,Victorville,2016,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Vineland,2016,(16)-converted value,8,>75%,1 Rural,2018
United States of America,Vinton,2015,(16)-converted value,8,>75%,1 Suburban,2018
United States of America,Virginia,2016,(8)-converted value,4,>75%,1 Urban And Center City,2018
United States of America,Virginia Beach,2016,(14)-converted value,7,>75%,1 Suburban,2018
United States of America,Virginia Beach-Norfolk-Newport News,2014,(15)-converted value,8,NA,-,2016
United States of America,Visalia-Porterville,2014,(33)-converted value,18,NA,-,2016
United States of America,Ware (Census Name For Ware Center),2016,(10)-converted value,5,>75%,1 Rural,2018
United States of America,Warner Robins,2014,(17)-converted value,9,NA,-,2016
United States of America,Washington,2016,(15)-converted value,7,>75%,1 Suburban,2018
United States of America,Washington-Arlington-Alexandria,2014,(16)-converted value,9,NA,-,2016
United States of America,Wasilla,2014,(8)-converted value,4,>75%,1 Suburban,2018
United States of America,Waterbury,2014,(18)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,Waterloo-Cedar Falls,2014,(17)-converted value,9,NA,-,2016
United States of America,Watertown,2016,(11)-converted value,5,>75%,1 Urban And Center City,2018
United States of America,Weirton-Steubenville,2014,(20)-converted value,11,NA,-,2016
United States of America,Wenden,2016,(5)-converted value,2,>75%,1 Rural,2018
United States of America,Wheeling,2014,(19)-converted value,10,NA,-,2016
United States of America,Wichita,2014,(17)-converted value,9,NA,-,2016
United States of America,Wilkinsburg,2016,(22)-converted value,11,>75%,1 Suburban,2018
United States of America,Williston,2016,(5)-converted value,2,>75%,1 Suburban,2018
United States of America,Willits,2016,(13)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Wilmington,2016,(19)-converted value,9,>75%,1 Urban And Center City,2018
United States of America,Winchester,2014,(17)-converted value,9,NA,-,2016
United States of America,Winona,2014,(17)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Winston-Salem,2015,(17)-converted value,8,>75%,1 Urban And Center City,2018
United States of America,Winter Park,2015,(13)-converted value,6,>75%,1 Urban And Center City,2018
United States of America,Worcester,2016,(12)-converted value,6,50% -< 75%,1 Urban And Center City,2018
United States of America,Yakima,2016,(18)-converted value,9,50% -< 75%,1 Urban And Center City,2018
United States of America,York,2016,(19)-converted value,9,>75%,1 Suburban,2018
United States of America,Youngstown-Warren-Boardman,2014,(20)-converted value,11,NA,-,2016
United States of America,Yreka,2014,(17)-converted value,9,NA,-,2016
United States of America,Yuba City,2016,(17)-converted value,8,>75%,1 Suburban,2018
United States of America,Yuma,2016,(17)-converted value,8,>75%,1 Urban And Center City,2018
